Title	Date	Lab	Plate	date_lab_plate	background_mean	background_SD
2023-08-20 plate_2	2023-08-20	Demengeot	plate_2	2023-08-20_Demengeot_plate_2	2.402375	0.10812154205866126
2023-08-20 plate_3	2023-08-20	Demengeot	plate_3	2023-08-20_Demengeot_plate_3	1.816875	0.05843540389670827
2023-08-20 plate_4	2023-08-20	Demengeot	plate_4	2023-08-20_Demengeot_plate_4	1.385625	0.0527174069923778
2023-08-20 plate_5	2023-08-20	Demengeot	plate_5	2023-08-20_Demengeot_plate_5	2.3525	0.10686707364090874
2023-08-21 plate_1	2023-08-21	Demengeot	plate_1	2023-08-21_Demengeot_plate_1	1.861875	0.07746416222080654
2023-08-21 plate_2	2023-08-21	Demengeot	plate_2	2023-08-21_Demengeot_plate_2	1.8391250000000001	0.07217921643876642
2023-08-21 plate_3	2023-08-21	Demengeot	plate_3	2023-08-21_Demengeot_plate_3	1.67125	0.08777528125845001
2023-08-21 plate_4	2023-08-21	Demengeot	plate_4	2023-08-21_Demengeot_plate_4	2.109375	0.09681490071264862
2023-08-21 plate_5	2023-08-21	Demengeot	plate_5	2023-08-21_Demengeot_plate_5	1.758375	0.08487459236173937
2023-08-21 plate_6	2023-08-21	Demengeot	plate_6	2023-08-21_Demengeot_plate_6	1.410375	0.05573902838868191
2023-08-21 plate_7	2023-08-21	Demengeot	plate_7	2023-08-21_Demengeot_plate_7	2.901375	0.22809016857374625
2023-08-31 plate_1	2023-08-31	Demengeot	plate_1	2023-08-31_Demengeot_plate_1	1.845625	0.08060651781516005
2023-08-31 plate_2	2023-08-31	Demengeot	plate_2	2023-08-31_Demengeot_plate_2	1.54375	0.11565311434260149
2023-08-31 plate_3	2023-08-31	Demengeot	plate_3	2023-08-31_Demengeot_plate_3	2.004	0.11281843820936362
2023-08-31 plate_4	2023-08-31	Demengeot	plate_4	2023-08-31_Demengeot_plate_4	1.8725	0.0826023175046733
